,bts_id,lat,lon,comuna
0,CEMG1,-33.3913,-70.6222,HUECHURABA
1,AMCLF,-33.5208,-70.5438,LA FLORIDA
2,ANGG1,-33.9131,-70.7181,PAINE
3,ANPUF,-33.5752,-70.661,EL BOSQUE
4,ATYAF,-33.4124,-70.5219,LAS CONDES
5,BOMAF,-33.4945,-70.5983,MACUL
6,CARPA,-33.4424,-70.5113,LA REINA
7,CAVEF,-33.4605,-70.5843,ÑUÑOA
8,TCDEP,-33.457,-70.6098,ÑUÑOA
9,CHLC1,-33.471,-70.6448,SANTIAGO
10,CLCPH,-33.3854,-70.5295,LAS CONDES
11,CLIPA,-33.3176,-70.8591,LAMPA
12,CLLPF,-33.7919,-70.7832,BUIN
13,CSFG1,-33.459,-70.9489,CURACAVÍ
14,DGAC1,-33.4412,-70.6174,PROVIDENCIA
15,ECHC2,-33.3773,-70.7552,QUILICURA
16,EGOLF,-33.4121,-70.5936,LAS CONDES
17,EMILF,-33.4113,-70.5804,LAS CONDES
18,EPIC1,-33.4914,-70.6263,SAN JOAQUÍN
19,FAFAF,-33.4914,-70.7772,MAIPÚ
20,GAVC1,-33.5164,-70.6597,LA CISTERNA
21,HCHG1,-33.0984,-70.8899,TILTIL
22,IRQC1,-33.4767,-70.6618,PEDRO AGUIRRE CERDA
23,JAELF,-33.7336,-70.6716,BUIN
24,LACON,-33.5562,-70.5374,PUENTE ALTO
25,LAUTR,-33.3426,-70.707,QUILICURA
26,LHRG1,-33.6842,-70.7325,SAN BERNARDO
27,LOLMF,-33.4814,-70.6141,MACUL
28,LOMIR,-33.6214,-70.7061,SAN BERNARDO
29,LOTSF,-33.467,-70.5583,PEÑALOLÉN
30,LPZC1,-33.474000000000004,-70.5857,MACUL
31,BARRI,-33.5093,-70.9101,PADRE HURTADO
32,LONQ1,-33.6632,-70.8053,CALERA DE TANGO
33,ANORO,-33.3489,-70.6251,HUECHURABA
34,SARIP,-33.6569,-70.5317,PIRQUE
35,LTOC1,-33.4655,-70.7222,ESTACIÓN CENTRAL
36,MAGLF,-33.5877,-70.6189,LA PINTANA
37,MALOF,-33.7311,-70.7732,BUIN
38,MLLOF,-33.6075,-70.8595,PEÑAFLOR
39,MLQNF,-33.7123,-70.8527,TALAGANTE
40,MRPG1,-33.5189,-71.1108,MARÍA PINTO
41,MTTC1,-33.4619,-70.6361,SANTIAGO
42,NOGLF,-33.4267,-70.6044,PROVIDENCIA
43,PAORL,-33.4738,-70.7363,MAIPÚ
44,PCNTF,-33.3927,-70.5974,VITACURA
45,PLAGF,-33.4643,-70.6527,SANTIAGO
46,PLANU,-33.4541,-70.5956,ÑUÑOA
