,bts_id,lat,lon
0,CEMG1,-33.3913,-70.6222
1,AMCLF,-33.5208,-70.5438
2,ANGG1,-33.9131,-70.7181
3,ANPUF,-33.5752,-70.661
4,ATYAF,-33.4124,-70.5219
5,BOMAF,-33.4945,-70.5983
6,CARPA,-33.4424,-70.5113
7,CAVEF,-33.4605,-70.5843
8,TCDEP,-33.457,-70.6098
9,CHLC1,-33.471,-70.6448
10,CLCPH,-33.3854,-70.5295
11,CLIPA,-33.3176,-70.8591
12,CLLPF,-33.7919,-70.7832
13,CSFG1,-33.459,-70.9489
14,DGAC1,-33.4412,-70.6174
15,ECHC2,-33.3773,-70.7552
16,EGOLF,-33.4121,-70.5936
17,EMILF,-33.4113,-70.5804
18,EPIC1,-33.4914,-70.6263
19,FAFAF,-33.4914,-70.7772
20,GAVC1,-33.5164,-70.6597
21,HCHG1,-33.0984,-70.8899
22,IRQC1,-33.4767,-70.6618
23,JAELF,-33.7336,-70.6716
24,LACON,-33.5562,-70.5374
25,LAUTR,-33.3426,-70.707
26,LHRG1,-33.6842,-70.7325
27,LOLMF,-33.4814,-70.6141
28,LOMIR,-33.6214,-70.7061
29,LOTSF,-33.467,-70.5583
30,LPZC1,-33.474000000000004,-70.5857
31,BARRI,-33.5093,-70.9101
32,LONQ1,-33.6632,-70.8053
33,ANORO,-33.3489,-70.6251
34,SARIP,-33.6569,-70.5317
35,LTOC1,-33.4655,-70.7222
36,MAGLF,-33.5877,-70.6189
37,MALOF,-33.7311,-70.7732
38,MLLOF,-33.6075,-70.8595
39,MLQNF,-33.7123,-70.8527
40,MRPG1,-33.5189,-71.1108
41,MTTC1,-33.4619,-70.6361
42,NOGLF,-33.4267,-70.6044
43,PAORL,-33.4738,-70.7363
44,PCNTF,-33.3927,-70.5974
45,PLAGF,-33.4643,-70.6527
46,PLANU,-33.4541,-70.5956
47,PNONO,-33.4324,-70.637
48,POCUF,-33.431999999999995,-70.5842
49,PPALF,-33.7153,-70.5663
50,PRALF,-33.4545,-70.7103
51,RATEF,-33.4171,-70.5544
52,REALF,-33.4324,-70.527
